"ID","START_DATE","END_DATE"
90358,"30-04-1990 00:00:00","30-04-2024 00:00:00"
90805,"31-12-2015 00:00:00","31-12-2015 00:00:00"
422328,"31-01-2003 00:00:00","30-11-2005 00:00:00"
423292,"31-10-2007 00:00:00","30-11-2008 00:00:00"
424216,"31-12-2010 00:00:00","31-05-2011 00:00:00"
424767,"31-01-1979 00:00:00","31-12-2002 00:00:00"
425647,"31-07-2012 00:00:00","31-12-2021 00:00:00"
429975,"31-07-2015 00:00:00","30-11-2015 00:00:00"
429987,"31-08-1996 00:00:00","31-01-2000 00:00:00"
441305,"30-04-2016 00:00:00","30-04-2016 00:00:00"
445235,"31-12-1994 00:00:00","31-12-1994 00:00:00"
431151,"28-02-2010 00:00:00","30-04-2012 00:00:00"
432251,"31-08-1996 00:00:00","30-09-1998 00:00:00"
435510,"31-10-2020 00:00:00","31-10-2020 00:00:00"
522550,"31-12-2010 00:00:00","30-09-2024 00:00:00"
525371,"28-02-1997 00:00:00","31-01-2020 00:00:00"
542518,"30-09-1998 00:00:00","31-07-2022 00:00:00"
545450,"30-06-2008 00:00:00","31-03-2019 00:00:00"
91177,"30-09-2006 00:00:00","31-10-2014 00:00:00"
421484,"31-05-2011 00:00:00","30-04-2022 00:00:00"
422693,"31-01-2001 00:00:00","31-01-2001 00:00:00"
424242,"31-03-2008 00:00:00","31-12-2011 00:00:00"
424927,"31-01-1961 00:00:00","31-12-2002 00:00:00"
424999,"28-02-2002 00:00:00","31-08-2008 00:00:00"
425007,"31-01-2010 00:00:00","30-04-2016 00:00:00"
426853,"31-01-1990 00:00:00","28-02-2005 00:00:00"
426967,"31-01-1961 00:00:00","30-09-2024 00:00:00"
437572,"31-01-2006 00:00:00","31-05-2024 00:00:00"
438251,"30-04-2001 00:00:00","30-06-2003 00:00:00"
438252,"30-06-2006 00:00:00","30-09-2008 00:00:00"
442921,"31-01-2010 00:00:00","31-05-2018 00:00:00"
445233,"31-12-1994 00:00:00","31-12-1994 00:00:00"
432299,"31-12-2008 00:00:00","31-12-2008 00:00:00"
433055,"31-01-2008 00:00:00","30-09-2018 00:00:00"
433056,"31-01-1996 00:00:00","30-06-2024 00:00:00"
420805,"30-06-2002 00:00:00","30-06-2002 00:00:00"
421125,"28-02-1971 00:00:00","31-05-2005 00:00:00"
464224,"31-01-1992 00:00:00","30-06-2012 00:00:00"
464225,"30-06-1997 00:00:00","31-07-2010 00:00:00"
464435,"31-10-2012 00:00:00","31-10-2012 00:00:00"
466561,"31-01-2000 00:00:00","30-09-2010 00:00:00"
522339,"31-01-1983 00:00:00","31-12-2015 00:00:00"
525370,"31-08-1972 00:00:00","31-12-2015 00:00:00"
542394,"31-01-1986 00:00:00","31-12-2015 00:00:00"
542517,"31-01-2018 00:00:00","30-09-2024 00:00:00"
543125,"31-05-1979 00:00:00","31-12-2015 00:00:00"
545406,"31-03-2004 00:00:00","31-03-2004 00:00:00"
552375,"30-11-2015 00:00:00","31-12-2017 00:00:00"
92153,"30-04-2018 00:00:00","30-06-2021 00:00:00"
426593,"31-07-1996 00:00:00","31-10-2011 00:00:00"
427166,"31-01-1971 00:00:00","30-09-2024 00:00:00"
427863,"30-04-1996 00:00:00","30-06-2000 00:00:00"
428553,"31-08-1997 00:00:00","31-07-2022 00:00:00"
428554,"31-01-1997 00:00:00","30-06-1998 00:00:00"
438937,"30-06-2004 00:00:00","30-06-2004 00:00:00"
445389,"31-05-2002 00:00:00","30-11-2009 00:00:00"
432810,"31-05-2012 00:00:00","31-08-2018 00:00:00"
433708,"31-12-2001 00:00:00","30-09-2008 00:00:00"
435509,"31-05-1998 00:00:00","31-07-1998 00:00:00"
435528,"29-02-2008 00:00:00","28-02-2009 00:00:00"
421048,"31-01-1971 00:00:00","31-05-2005 00:00:00"
421161,"28-02-2014 00:00:00","31-01-2020 00:00:00"
465927,"31-01-1983 00:00:00","31-07-2012 00:00:00"
466562,"31-07-2008 00:00:00","31-12-2010 00:00:00"
471794,"31-08-1996 00:00:00","30-09-2024 00:00:00"
522297,"31-01-2009 00:00:00","31-12-2022 00:00:00"
