"ID","START_DATE","END_DATE"
422328,"31-01-2003 00:00:00","30-11-2005 00:00:00"
467004,"31-07-1998 00:00:00","30-04-2006 00:00:00"
421484,"31-05-2011 00:00:00","30-04-2022 00:00:00"
422693,"31-01-2001 00:00:00","31-01-2001 00:00:00"
420805,"30-06-2002 00:00:00","30-06-2002 00:00:00"
421125,"28-02-1971 00:00:00","31-05-2005 00:00:00"
464224,"31-01-1992 00:00:00","30-06-2012 00:00:00"
464225,"30-06-1997 00:00:00","31-07-2010 00:00:00"
464435,"31-10-2012 00:00:00","31-10-2012 00:00:00"
466561,"31-01-2000 00:00:00","30-09-2010 00:00:00"
421048,"31-01-1971 00:00:00","31-05-2005 00:00:00"
421161,"28-02-2014 00:00:00","31-01-2020 00:00:00"
464675,"30-09-2002 00:00:00","31-07-2012 00:00:00"
464923,"31-01-1998 00:00:00","31-07-2012 00:00:00"
465927,"31-01-1983 00:00:00","31-07-2012 00:00:00"
466562,"31-07-2008 00:00:00","31-12-2010 00:00:00"
519357,"28-02-2005 00:00:00","31-01-2007 00:00:00"
519358,"30-04-2001 00:00:00","31-08-2005 00:00:00"
522873,"28-02-1998 00:00:00","31-10-2003 00:00:00"
420983,"28-02-2009 00:00:00","31-03-2022 00:00:00"
465260,"31-01-1998 00:00:00","31-12-2010 00:00:00"
465396,"31-05-1997 00:00:00","31-07-2012 00:00:00"
466957,"31-07-2008 00:00:00","30-09-2010 00:00:00"
519359,"28-02-2013 00:00:00","31-03-2016 00:00:00"
421234,"31-01-2013 00:00:00","31-03-2022 00:00:00"
421090,"31-10-2002 00:00:00","31-07-2008 00:00:00"
464676,"30-06-1997 00:00:00","31-03-2017 00:00:00"
520074,"31-01-1996 00:00:00","31-03-2000 00:00:00"
422493,"31-12-2004 00:00:00","30-09-2013 00:00:00"
421140,"30-09-1999 00:00:00","30-09-1999 00:00:00"
464924,"31-03-1999 00:00:00","31-12-2021 00:00:00"
465928,"30-04-1996 00:00:00","31-12-2018 00:00:00"
472159,"31-12-2010 00:00:00","31-03-2021 00:00:00"
464108,"31-01-1997 00:00:00","30-09-2010 00:00:00"
464109,"31-05-2007 00:00:00","30-11-2011 00:00:00"
464761,"31-03-2001 00:00:00","30-09-2005 00:00:00"
464939,"31-01-1961 00:00:00","30-06-1997 00:00:00"
465397,"31-07-1998 00:00:00","30-11-2018 00:00:00"
472158,"30-04-2007 00:00:00","30-09-2010 00:00:00"
513530,"31-12-1996 00:00:00","31-03-2001 00:00:00"
422091,"30-04-2012 00:00:00","31-01-2020 00:00:00"
423008,"31-05-2003 00:00:00","31-05-2003 00:00:00"
420649,"31-01-1992 00:00:00","31-12-2003 00:00:00"
420868,"31-12-1996 00:00:00","31-03-2024 00:00:00"
464041,"31-01-1982 00:00:00","31-08-1999 00:00:00"
464321,"31-01-1961 00:00:00","30-09-2024 00:00:00"
464434,"31-05-2018 00:00:00","31-05-2018 00:00:00"
465259,"28-02-1999 00:00:00","30-09-2010 00:00:00"
466958,"30-11-2008 00:00:00","30-06-2012 00:00:00"
467002,"31-01-1994 00:00:00","31-01-2007 00:00:00"
