"ID","SRC_ID","NAME","COUNTRY_CODE","EASTING","NORTHING","HYDROMETRIC_AREA","ELEVATION","GEOG_PATH"
421169,9670,"CWM BIGA","GB-GBN",285900,289100,54,309,"/BI/UK/GB/WAL/POWN/"
421192,9671,"BANC-Y-GROES, GRONWEN","GB-GBN",288400,289200,54,297,"/BI/UK/GB/WAL/POWN/"
421222,9672,"PEN-Y-BANC FARM","GB-GBN",289500,287500,54,366,"/BI/UK/GB/WAL/POWN/"
421234,16800,"CLYWEDOG DAM","GB-GBN",291018,287054,54,290,"/BI/UK/GB/WAL/POWN/"
421271,9673,"LLANIDLOES, ABERNANT","GB-GBN",295500,284700,54,152,"/BI/UK/GB/WAL/POWN/"
421484,9674,"LLANDINAM","GB-GBN",302044,289380,54,135,"/BI/UK/GB/WAL/POWN/"
421645,9675,"TREFEGLWYS NO 2","GB-GBN",297200,290900,54,146,"/BI/UK/GB/WAL/POWN/"
421646,9676,"TREFEGLWYS","GB-GBN",297200,291000,54,149,"/BI/UK/GB/WAL/POWN/"
421920,9677,"CARNO P STA","GB-GBN",296100,296700,54,186,"/BI/UK/GB/WAL/POWN/"
421953,9678,"CARNO","GB-GBN",296000,296400,54,191,"/BI/UK/GB/WAL/POWN/"
421954,9679,"CARNO NO 2","GB-GBN",296000,296500,54,191,"/BI/UK/GB/WAL/POWN/"
422073,9680,"LLANWNOG","GB-GBN",302400,293700,54,137,"/BI/UK/GB/WAL/POWN/"
422089,9681,"CAERSWS","GB-GBN",303600,292400,54,122,"/BI/UK/GB/WAL/POWN/"
422091,55924,"HENFRYN","GB-GBN",303086,292597,54,130,"/BI/UK/GB/WAL/POWS/"
422095,9682,"CAERSWS S WKS","GB-GBN",304100,292500,54,137,"/BI/UK/GB/WAL/POWN/"
422169,9684,"GREGYNOG HALL","GB-GBN",308000,296900,54,198,"/BI/UK/GB/WAL/POWN/"
422325,9685,"MOCHDRE RESR","GB-GBN",307900,287100,54,198,"/BI/UK/GB/WAL/POWN/"
422328,9686,"DOLFOR","GB-GBN",310149,286973,54,312,"/BI/UK/GB/WAL/POWN/"
422365,9687,"MOCHDRE","GB-GBN",308500,289500,54,130,"/BI/UK/GB/WAL/POWN/"
422367,1192,"NEWTOWN","GB-GBN",309100,290000,54,120,"/BI/UK/GB/WAL/POWN/"
422452,9688,"PENARTH WEIR","GB-GBN",313900,292600,54,98,"/BI/UK/GB/WAL/POWN/"
422493,9689,"GREGYNOG HALL NO 2","GB-GBN",308522,297540,54,192,"/BI/UK/GB/WAL/POWN/"
422661,9690,"ABERMULE, BYLIS LOCK","GB-GBN",315500,294500,54,91,"/BI/UK/GB/WAL/POWN/"
