"ID","SRC_ID","NAME","COUNTRY_CODE","EASTING","NORTHING","HYDROMETRIC_AREA","ELEVATION","GEOG_PATH"
89714,2913,"STRONGFORD W WKS","GB-GBN",387932,339157,28,95,"/BI/UK/GB/ENG/STS/"
90358,2918,"SUGNALL HALL","GB-GBN",379831,331185,28,143,"/BI/UK/GB/ENG/STS/"
90359,2919,"ECCLESHALL, SUGNALL HALL","GB-GBN",379800,331200,28,137,"/BI/UK/GB/ENG/STS/"
90492,2920,"WALTON HALL GARDENS","GB-GBN",384900,328500,28,99,"/BI/UK/GB/ENG/STS/"
90537,2921,"WHITMORE P STA","GB-GBN",379900,340100,28,121,"/BI/UK/GB/ENG/CHS/"
90589,2922,"HATTON W WKS","GB-GBN",382900,337000,28,108,"/BI/UK/GB/ENG/STS/"
90590,2923,"HATTON W WKS NO 2","GB-GBN",382900,336900,28,108,"/BI/UK/GB/ENG/STS/"
90688,2924,"LOGGERHEADS, ASHLEY SCHOOL","GB-GBN",374200,335700,28,213,"/BI/UK/GB/ENG/STS/"
90726,2925,"STANDON HOSPITAL","GB-GBN",380600,335500,28,137,"/BI/UK/GB/ENG/STS/"
90803,625,"STONE NO 2","GB-GBN",387800,332100,28,107,"/BI/UK/GB/ENG/STS/"
90805,56180,"STONE, COLD NORTON FARM","GB-GBN",387760,332060,28,108,"/BI/UK/GB/ENG/STS/"
90806,30277,"NORTON BRIDGE, IZAAK WALTON GOLF CLUB","GB-GBN",387135,331026,28,93,"/BI/UK/GB/ENG/STS/"
91177,25321,"TETTENHALL","GB-GBN",387279,301113,28,122,"/BI/UK/GB/ENG/WMID/"
91191,623,"OAKEN","GB-GBN",385700,303100,28,125,"/BI/UK/GB/ENG/STS/"
91196,2931,"CODSALL","GB-GBN",387000,302800,28,125,"/BI/UK/GB/ENG/STS/"
91201,2932,"CODSALL, PENDRELL HALL","GB-GBN",385100,304800,28,145,"/BI/UK/GB/ENG/STS/"
91773,2940,"BELVIDE RESR","GB-GBN",386100,310300,28,112,"/BI/UK/GB/ENG/STS/"
91782,2941,"BELVIDE RESR NO 2","GB-GBN",386900,310400,28,107,"/BI/UK/GB/ENG/STS/"
91860,2942,"HOLLIES P STA","GB-GBN",381600,322400,28,110,"/BI/UK/GB/ENG/STS/"
91862,55915,"HOLLIES P STA NO2","GB-GBN",381595,322447,28,122,"/BI/UK/GB/ENG/STS/"
91986,2943,"LITTLE ONN HALL","GB-GBN",383900,315700,28,107,"/BI/UK/GB/ENG/STS/"
92123,624,"WHEATON ASTON","GB-GBN",384800,313300,28,111,"/BI/UK/GB/ENG/STS/"
92153,19270,"WHEATON ASTON, BOWLING GREEN FARM","GB-GBN",385392,312892,28,107,"/BI/UK/GB/ENG/STS/"
421169,9670,"CWM BIGA","GB-GBN",285900,289100,54,309,"/BI/UK/GB/WAL/POWN/"
421192,9671,"BANC-Y-GROES, GRONWEN","GB-GBN",288400,289200,54,297,"/BI/UK/GB/WAL/POWN/"
421222,9672,"PEN-Y-BANC FARM","GB-GBN",289500,287500,54,366,"/BI/UK/GB/WAL/POWN/"
421234,16800,"CLYWEDOG DAM","GB-GBN",291018,287054,54,290,"/BI/UK/GB/WAL/POWN/"
421271,9673,"LLANIDLOES, ABERNANT","GB-GBN",295500,284700,54,152,"/BI/UK/GB/WAL/POWN/"
421484,9674,"LLANDINAM","GB-GBN",302044,289380,54,135,"/BI/UK/GB/WAL/POWN/"
421645,9675,"TREFEGLWYS NO 2","GB-GBN",297200,290900,54,146,"/BI/UK/GB/WAL/POWN/"
421646,9676,"TREFEGLWYS","GB-GBN",297200,291000,54,149,"/BI/UK/GB/WAL/POWN/"
421920,9677,"CARNO P STA","GB-GBN",296100,296700,54,186,"/BI/UK/GB/WAL/POWN/"
421953,9678,"CARNO","GB-GBN",296000,296400,54,191,"/BI/UK/GB/WAL/POWN/"
421954,9679,"CARNO NO 2","GB-GBN",296000,296500,54,191,"/BI/UK/GB/WAL/POWN/"
422073,9680,"LLANWNOG","GB-GBN",302400,293700,54,137,"/BI/UK/GB/WAL/POWN/"
422089,9681,"CAERSWS","GB-GBN",303600,292400,54,122,"/BI/UK/GB/WAL/POWN/"
422091,55924,"HENFRYN","GB-GBN",303086,292597,54,130,"/BI/UK/GB/WAL/POWS/"
422095,9682,"CAERSWS S WKS","GB-GBN",304100,292500,54,137,"/BI/UK/GB/WAL/POWN/"
422169,9684,"GREGYNOG HALL","GB-GBN",308000,296900,54,198,"/BI/UK/GB/WAL/POWN/"
422325,9685,"MOCHDRE RESR","GB-GBN",307900,287100,54,198,"/BI/UK/GB/WAL/POWN/"
422328,9686,"DOLFOR","GB-GBN",310149,286973,54,312,"/BI/UK/GB/WAL/POWN/"
